Loading: input/day4/input.txt
row: 1; card_count: 1; match_count: 10
row: 216; card_count: 336; match_count: 0
row: 217; card_count: 252; match_count: 5
row: 218; card_count: 502; match_count: 1
row: 219; card_count: 937; match_count: 3
row: 220; card_count: 1204; match_count: 2
row: 221; card_count: 2394; match_count: 0
row: 222; card_count: 2394; match_count: 0
row: 223; card_count: 1; match_count: 0

Part 1 score: 32001
Part 2 score: 5037841
